name,eng_name,description,country,year,actors,img,poster,url,gene,status,duration,directors,avgRating,type,reviewChannel,trailer,commentList,reviewList
Ma trận 4: Hồi sinh,The matrix resurrections,Ma trận: Hồi Sinh sẽ tiếp tục xoay quanh 2 nhân vật là Neo (Reeves) và Trinity (Moss) đã quên toàn bộ ký ức khi còn trong ma trận. Hiện tại họ đang sống trong một thế giới giả lập mới nhưng không nhận ra nhau. Ngoài ra Ma Trận 4 sẽ có nhân vật mới xuất hiện để giúp Neo thoát khỏi nhà tù ảo ảnh. Phần phim Ma Trận 3 đã chiếu cách đây hơn 8 năm nên sự trở lại của Ma Trận 4 đúng là sự hồi sinh như tên gọi và cũng là sự trở lại của những nhân vật đã chết,Mỹ,2021,"Keanu Reeves, Carrie-Anne Moss và Jada Pinkett Smith",https://www.cgv.vn/media/catalog/product/cache/3/image/c5f0a1eff4c394a251036189ccddaacd/p/o/poster_matrix_4_1_.jpg,https://wallpapercave.com/wp/wp8459104.png,https://www.youtube.com/embed/3Z55ZZjA9bQ,Hành động - Viễn tưởng,HD,148,Lana Wachowski,3,TRUE,Phê phim,https://www.youtube.com/watch?v=9ix7TUGVYIo,[],[] 
Người nhện: Không còn nhà,Spider Man: No way home,Spider-Man: No Way Home tiếp nối ngay sau cái kết của Spider-Man: Far From Home (2019) khi Mysterio/Quentin Beck (Jake Gyllenhaal) công bố danh tính Spider-Man là Peter Parker (Tom Holland) trên sóng truyền hình. Từ đây mà cuộc sống của cậu thay đổi hoàn toàn khi trở thành tâm điểm soi mói của cả thế giới.,Mỹ,2021,"Tom Holland, Zendaya, Jacob Batalon, Marisa Tomei, Jamie Foxx, Benedict Cumberbatch và Alfred Molina",https://www.themoviedb.org/t/p/original/1gxZrx9gL9ov2c1NpXimEUzMTmh.jpg,https://images2.alphacoders.com/117/thumb-1920-1170277.jpg,https://www.youtube.com/embed/NGUHmUxo73k,Hành động - Viễn tưởng,HD,148,Jon Watts,5,TRUE,Phê phim,https://www.youtube.com/watch?v=JfVOs4VSpmA,[],[] 
Chủng tộc bất tử,The Eternals,"The Eternals kể về chủng loài Eternals cổ đại đã sống bí mật trên trái đất hàng ngàn năm. Eternals được tạo ra bởi những Celestials có quyền năng tối cao, cùng với Deviants và Loài Người. Họ sở hữu sức mạnh và những năng lực phi thường, đồng thời trí tuệ cũng vượt xa hai chủng loài kia nên quyết định rời trái đất và lập đế chế riêng trên Titan. Một số ít Eternals quyết định ở lại trái đất để giúp đỡ loài người sau khi chủng loài Deviants bị các Celestials tiêu diệt.",Mỹ,2021,"Angelina Jolie, Gemma Chan, Richard Madden, Kumail Nanjiani, Lauren Ridloff, Brian Tyree Henry, Salma Hayek, Lia McHugh, Don Lee, Barry Keoghan và Kit Harington",https://www.cgv.vn/media/catalog/product/cache/1/image/c5f0a1eff4c394a251036189ccddaacd/e/t/eternals_-_vietnamese_poster_1_.jpg,https://images8.alphacoders.com/116/thumb-1920-1166926.jpeg,https://www.youtube.com/embed/YhWOCjoXbjE,Hành động - Viễn tưởng,HD,156,Chloé Zhao,4,TRUE,Phê phim,https://www.youtube.com/watch?v=DobBbl0_6Lc,[],[] 
Sát nhân trong bóng tối 2,Don't breathe 2,"Sát Nhân Trong Bóng Tối 2 lấy bối cảnh vào vài năm sau sự kiện ở phần trước, khi người mù Norman Nordstrom đang sinh sống yên bình lại một căn nhà gỗ nằn biệt lập với thành phố, và nuôi dưỡng một cô gái trẻ đã mồ côi khi xảy ra một vụ cháy nhà đầy kinh hoàng. Thế nhưng cuộc sống yên bình của cả hai bỗng thay đổi khi một nhóm tội phạm đã bắt cóc cô gái đi và buộc Norman Nordstrom phải rời khỏi căn nhà của mình và tìm cách để có thể giải thoát cho cô bé",Mỹ,2021,"Stephen Lang, Brendan Sexton III, Madelyn Grace",https://image.tmdb.org/t/p/w780/r7HEBkkRN93d3eFBZgPJfRaob5p.jpg,https://wallpaperaccess.com/full/6908665.jpg,https://www.youtube.com/embed/SdyBLrTDLsQ,Kinh dị - Giật gân,HD,98,Rodo Sayagues,4,TRUE,Phê phim,https://www.youtube.com/watch?v=jDFFqOzaBng,[],[] 
Giải cứu Guy,Free Guy,"Giải Cứu Guy - Free Guy xoay quanh câu chuyện về anh chàng Guy, là một nhân viên văn phòng nhỏ bé và vô cùng bình thường. Thế nhưng, cuộc sống của anh thay đổi khi vô tình nhận được một mã phát triển miễn phí trong trò chơi Free City được sản xuất bởi Milly và Keys. Kể từ đây, anh vô tình trở thành một nhân vật chính trong thế giới trò chơi này. Nhiệm vụ của Guy là phải giải cứu thế giới thoát khỏi sự tàn phá và trở thành một người hùng, chạy đua với thời gian trước khi những nhà phát triển bắt đầu triển khai kế hoạch ngăn chặn",Mỹ,2021,"Ryan Reynolds, Jodie Comer, Lil Rel Howery, Utkarsh Ambudkar, Joe Keery và Taika Waititi",https://cdn.wallpapersafari.com/28/28/6pYV1W.jpg,https://images.wallpapersden.com/image/download/hd-poster-of-free-guy-movie_bG1uZWyUmZqaraWkpJRmaWVlrW5lZQ.jpg,https://www.youtube.com/embed/SfwK8m3sWKs,Hài,HD,115,Shawn Levy,4,TRUE,Phê phim,https://www.youtube.com/watch?v=X2m-08cOAbc,[],[] 
Phi vụ triệu đô (season 5),Money Heist 5,"Phi Vụ Triệu Đô (Phần 5) này kể về cả nhóm đã ở Ngân hàng Tây Ban Nha hơn 100 giờ và Giáo Sư đang gặp nguy. Tệ hơn nữa, họ sắp phải đối mặt với một kẻ địch mới: quân đội",Tây Ban Nha,2021,"Úrsula Corberó, Itziar Ituño, Álvaro Morte, Pedro Alonso, Alba Flores, Miguel Herrán, Jaime Lorente, Esther Acebo, Enrique Arce",https://wallpapercave.com/wp/wp9230560.jpg,https://wallpaperaccess.com/full/6777556.jpg,https://www.youtube.com/embed/sZIGmwIv9tE,Tội phạm,HD,70,Nhiều đạo diễn,4,FALSE,Phê phim,https://www.youtube.com/watch?v=uwsmkWh0S5Y,[],[] 
Tom & Jerry: Quậy Tung New York,Tom & Jerry live action,"Ở Manhattan , Tom , người mơ ước trở thành nghệ sĩ piano, chơi ở Công viên Trung tâm , trong khi đối thủ lâu năm của anh ta là chuột Jerry đang tìm kiếm một ngôi nhà mới. Sau khi bàn phím của Tom bị phá hủy trong một cuộc chiến, anh ta đuổi theo Jerry nhưng đụng phải Kayla Forester, người mất việc làm. Đang tìm kiếm một vị trí tại khách sạn nổi tiếng nhất New York, Cổng Hoàng gia, Kayla trình bày một bản lý lịch bị đánh cắp là của riêng mình và được thuê để giúp dàn dựng một đám cưới cao cấp. Jerry ẩn náu trong khách sạn nơi những trò tai quái thường xuyên của anh ta liên quan đến ăn cắp thức ăn và vật phẩm để tăng cường lối sống mới của mình, trong khi Tom nghĩ ra nhiều chiến lược khác nhau để vào khách sạn để bắt Jerry.",Mỹ,2021,"Chloë Grace Moretz, Michael Peña, Colin Jost, Rob Delaney và Ken Jeong",https://www.themoviedb.org/t/p/original/yMoMlJo2msoVwmuf6k1C78MrB3H.jpg,https://resize.indiatvnews.com/en/resize/newbucket/1200_-/2021/01/tom-n-jerry-1610640938.jpg,https://www.youtube.com/embed/7w7S_EUwhfs,Hoat hình,HD,101,Tim Story,4,TRUE,Phê phim,https://www.youtube.com/watch?v=kP9TfCWaQT4,[],[] 
Bố già,"Dad, I'm sorry","Là cha đơn thân từ khi vợ bỏ đi, ông Sang trở thành chỗ dựa duy nhất cho đứa con lớn Quắn và cô con gái nuôi Bù Tọt. Quắn là một thanh niên với những tư tưởng tiến bộ, không muốn cha phải khổ vì bị họ hàng chèn ép, còn ông Sang là người hiền lành, luôn nhẫn nhịn những người xung quanh. Vì thế, mối quan hệ của hai cha con ngày càng căng thẳng. Khoảng cách giữa hai thế hệ khác nhau, liệu có dễ dàng hiểu được và thông cảm cho đối phương?",Việt Nam,2021,"Trấn Thành, Ngọc Giàu, Tuấn Trần, Ngân Chi, Lê Giang, Hoàng Mèo, Lan Phương, La Thành, Lê Trang, Quốc Khánh, A Quay, Quỳnh Châu và Bảo Phúc",https://2sao.vietnamnetjsc.vn/images/2020/12/03/00/25/bo-gia-1.jpg,https://ss-images.saostar.vn/w800/pc/1606897461583/bogia-teaser1-1.jpg,https://www.youtube.com/embed/dUmoXJpY1ig,Tâm lý,HD,128,"Trấn Thành, Vũ Ngọc Đãng",5,TRUE,Phê phim,https://www.youtube.com/watch?v=jluSu8Rw6YE,[],[] 
Ba chàng ngốc,Three Idiots,"Bộ phim Ba Chàng Ngốc kể về tình bạn của ba anh chàng Farhan, Raju và Rancho từ khi họ còn là sinh viên đến khi trưởng thành. Trong thời gian ngồi trên giảng đường, Rancho đã có ảnh hưởng rất lớn đến cuộc sống, tương lai của Farhan và Raju. Sau khi ra trường, Rancho đột nhiên biến mất. 10 năm sau, khi tìm được manh mối về nơi sinh sống của cậu bạn thân năm xưa, Farhan và Raju quyết định lên đường tìm Rancho...",Ấn Độ,2009,"Aamir Khan, R. Madhavan, Sharman Joshi, Kareena Kapoor",https://wallpapercave.com/wp/wp6568176.jpg,https://www.bollywoodhungama.com/wp-content/uploads/2016/03/3-Idiots.jpg,https://www.youtube.com/embed/eNG1R-x3uEY,Hài,HD,170,Rajkumar Hirani,5,TRUE,Phê phim,https://www.youtube.com/watch?v=K0eDlFX9GMc,[],[] 
Người nhện: Xa nhà,Spider-Man: Far from home,"Trở lại sau sự ra đi của Tony Stark, có vẻ như Peter đã không còn đủ động lực, niềm tin để tiếp tục theo đuổi giấc mơ làm siêu anh hùng. Nhưng trong chuyến du lịch đến Châu Âu, Peter và những người bạn rơi vào rắc rối mới. Không những vậy, cậu còn được diện kiến Nick Fury. Liệu thử thách mới của Người Nhện sẽ khó khăn thế nào?",Mỹ,2019,"Tom Holland, Zendaya, Jake Gyllenhaal, Marisa Tomei, Samuel L. Jackson",https://www.themoviedb.org/t/p/original/3WES2GZ7PGzscIqvqhsUcvoC5Kc.jpg,https://www.themoviedb.org/t/p/original/3WES2GZ7PGzscIqvqhsUcvoC5Kc.jpg,https://www.youtube.com/embed/bZFEv4orDck,Hành động - Viễn tưởng,HD,122,Jon Watts,4,TRUE,Cu Sút Review,https://www.youtube.com/watch?v=Nt9L1jCKGnE,[],[] 
