name,eng_name,type,gene,country,description,actors,avgRating,url,commentList,reviewList,createdAt,status,directors,duration,year,img
Thám Tử Khu Mỏ,Goldstone,True,Phim Phiêu Lưu - Hành Động,Mỹ,"
Thám Tử Khu Mỏ, Goldstone
Thám Tử Khu Mỏ kể câu chuyện về 1 thám tử tên là Jay Swan. Anh được cử đến một thị trấn vỡ hoang mỏ của Goldstone. Nhiệm vụ của anh là mua 1 khách du lịch châu Á bị mất tích. Jay Swan phát bây giờ thị trấn biên thuỳ này đầy rẫy bọn tù hãm tìm bán phụ nữ. Chúng ép buộc những cô gái làm gái mại dâm, làm thịt người của các băng nhóm. Với sự giúp đở của Josh một người địa phương. Jay đã lần ra kẻ cầm đầu là Johnny và cuộc truy vấn lùng bắt đầu… Mời những bạn theo dõi.

","Aaron Pedersen,Alex Russell,Jacki Weaver",4,http://lb.topphimhd.info/motphimmoi.php?url=cDV6NXI0bTQ0M3MyMjR2NHE1aTRwNWs0czRuNHozcjVsNTA2dTJ3NDg0ZjRxMm00ZjRjNHE1MzQyNmw1NDRsNHAyMDZuNGwyZjQ4NG80MDR1NXU1czJxNDc0bDQwNHUyMjRuNG41aTRzNGU0djV5MzU0MzRhM200YTRuNGs0azQ4M2c0czUwNnk1bDVjNGw0aDR2NWI0V2ZRY0ZN,[],[],2016-05-18T16:00:00Z,HD Vietsub,Ivan Sen,109 phút,2016,http://tv.phimmoi18.com/wp-content/uploads/2021/10/tham-tu-khu-mo-22137-thumbnail-250x350.jpg
Kẻ Thu Nợ 2,The Debt Collector 2,True,Phim Phiêu Lưu - Hành Động,Mỹ,"
Kẻ Thu Nợ 2, The Debt Collector 2
Kẻ Thu Nợ 2 là bộ phim hành động hài hước. Phim đề cập về 1 võ sĩ được tập huấn bài bản sẽ đi làm công tác đòi nợ cho doanh nghiệp đen. Công việc với vẻ dễ dàng, cho tới lúc một “khách hàng” xuất hiện. Họ kéo anh ta vào một cảnh huống khó nhằn hơn bao giờ hết…

","Louis Mandylor,Scott Adkins,Vladimir Kulich",4,http://lb.topphimhd.info/motphimmoi.php?url=cDV6NXI0bTQ0M3MyMjR2NHE1aTRwNWs0czRuNHozcjVsNTA2dTJ3NDg0ZjRxMm00ZjRjNHE1MzR0NWk1bzJzNGM0MTZuMmU0ajRsMnQyMDQxNmc1bjRyMnYycTJ5NWE0ejVxNG41aTRyMnkyMDRnNHU1bjVzNG40aDQzM2k0bDRyNGo0bDVwNXY1cTVpNGg0T2EwcllZ,[],[],2016-05-18T16:00:00Z,HD Vietsub,Jesse V. Johnson,97 phút,2020,http://tv.phimmoi18.com/wp-content/uploads/2021/10/ke-thu-no-2-22147-thumbnail-250x350.jpg
Tư Lệnh Cô Độc,Army of One,True,Phim Phiêu Lưu - Hành Động,Mỹ,"
Tư Lệnh Cô Độc, Army of One
Tư Lệnh Cô Độc là một bộ phim bom tấn được phát hành vào năm 2016 tại Hoa Kỳ. Câu chuyện dựa trên Faulkner bên cạnh đời thực. Người đã du hành tới Pakistan để sắm bin Laden, theo chân Gary Faulkner, một cựu tội nhân nhân, một tay giang hồ thất nghiệp và Don Quixote thời hiện đại, người nhận được 1 linh ảnh từ Chúa bảo anh ta buộc phải khiến các gì không. một người khác với thể làm, ấy là bắt Osama Bin Laden.

","Nicolas Cage,Russell Brand,Wendi McLendon-Covey",4,http://lb.topphimhd.info/motphimmoi.php?url=cDV6NXI0bTQ0M3MyMjR2NHE1aTRwNWs0czRuNHozcjVsNTA2dTJ3NDg0ZjRxMm00ZjRjNHE1MzQyNnk1bzJrNDk0dTVhNGwyNzRmNG8yajV3NWk1czJxNDc0bDQwNHUyMjRuNG41aTRzNGU0djV5MzU0MzRhM200YTRuNGs0azQ4M2c0czUwNnk1bDVjNGw0aDR2NWI0YXF3eHNw,[],[],2016-05-18T16:00:00Z,HD Vietsub,Larry Charles,92 phút,2016,http://tv.phimmoi18.com/wp-content/uploads/2021/10/tu-lenh-co-doc-22132-thumbnail-250x350.jpg
Căn Hầm Của Quỷ,Recovery,True,Phim Phiêu Lưu - Hành Động,Mỹ,"
Căn Hầm Của Quỷ, Recovery
Căn Hầm Của Quỷ với tựa đề tiếng anh là Recovery. Đây là bộ phim kinh dị của điện ảnh Mỹ. Phim được chỉ đạo nội dung bởi đạo diễn Darrell Wheat. Cùng sự tham dự của nhiều dòng tên nhân kiệt như Kirby Bliss Blanton, Rachel DiPillo, Samuel Larsen, Alex Shaffer,… Phim hứa hẹn hứa sẽ mang lại cho người xem cảm giác rùng mình bởi các cảnh quay được đánh giá cao.
Phim dựa trên 1 câu chuyện mang thật của cô nữ sinh tên Jessie. Cô theo học trường đại học nổi tiếng Warsingtons, trước ngày rẻ nghiệp cô cộng bằng hữu ăn chơi quậy phá và sau đấy thì những hình ảnh của cô được 1 tin nhắn gửi tới nhằm để dọa cô. Theo như hướng dẫn từ mẫu điện thoại thì cô buộc phải đến 1 ngôi nhà huyền bí để giả dụ muốn biết bí mật…

","Kirby Bliss Blanton,Rachel DiPillo,Samuel Larsen",4,http://lb.topphimhd.info/motphimmoi.php?url=cDV6NXI0bTQ0M3MyMjR2NHE1aTRwNWs0czRuNHozcjVsNTA2dTJ3NDg0ZjRxMm00ZjRjNHE1MzRsNWU1aDR0MmM0aDVmNGwyNzRsNDQ0MDR5NTA2dzRyMnE0NjR2NXEyNjRwMjE2NTRvNHY0aTV2NTE0NTR1MmIzaDQ5NHE0bDRsNDQzcTV2NTI2dDViNGg0aDR0NWg0OTRzaTdIa1o=,[],[],2016-05-18T16:00:00Z,HD Vietsub,Darrell Wheat,80 phút,2016,http://tv.phimmoi18.com/wp-content/uploads/2021/10/can-ham-cua-quy-22127-thumbnail-250x350.jpg
Thân Ai Nấy Lo,Dog Eat Dog,True,Phim Phiêu Lưu - Hành Động,Mỹ,"
Thân Ai Nấy Lo, Dog Eat Dog
Thân Ai Nấy Lo mở đầu bằng 1 đoạn khai mạc sở hữu Mad Dog (Willem Dafoe. Tất cả đều là các kẻ nhu nhược gân guốc). Sau khi rảo bước vào nhà của người yêu cũ trong một đêm cuối cùng. Anh ta đã cướp và làm cho một điều vô cộng đáng tiếc. Nhạc nền vui nhộn trái ngược với cảnh bạo lực của Mad Dog. Một chiêu trò đã tương đối bị nghi ngờ khi Tarantino khiến nó cho riêng mình 15 năm trước. Sau đó, chúng tôi được giới thiệu mang Troy (Nicolas Cage, người đẹp mặc áo cộc tay màu xanh nhạt), vừa mới ra tù nhân và đang tìm phương pháp kiếm tiền dễ dàng. Những người bạn đồng hành của anh là Chó điên, và người đàn ông cứng đầu đạn Diesel (Christopher Matthew Cook).

","Christopher Matthew Cook,Nicolas Cage,Willem Dafoe",4,http://lb.topphimhd.info/motphimmoi.php?url=cDV6NXI0bTQ0M3MyMjR2NHE1aTRwNWs0czRuNHozcjVsNTA2dTJ3NDg0ZjRxMm00ZjRjNHE1MzQyNmw1NDRtNHAyaDViNGwyaTQxNHM0MDR0NXU1czJxNDc0bDQwNHUyMjRuNG41aTRzNGU0djV5MzU0MzRhM200YTRuNGs0azQ4M2c0czUwNnk1bDVjNGw0aDR2NWI0cVhmOVNi,[],[],2016-05-18T16:00:00Z,HD Vietsub,Paul Schrader,93 phút,2016,http://tv.phimmoi18.com/wp-content/uploads/2021/10/than-ai-nay-lo-22112-thumbnail-250x350.jpg
Không Lùi Bước,Hell or High Water,True,Phim Phiêu Lưu - Hành Động,Mỹ,"
Không Lùi Bước, Hell or High Water
Không Lùi Bước là câu chuyện của một gia đình suy sụp về kinh tế. Phim rút ra 1 loại nhìn bao quát về điều kiện kinh tế của bối cảnh Tây Texas của họ. Khi những nhân vật lái xe từ quận này sang quận khác, đi qua vô kể bảng hiệu quảng bá các giải pháp nợ nần, của cải bị tịch thâu và đất nông nghiệp khô cằn, bộ phim vẽ bắt buộc bức tranh về 1 thế giới mà giới thượng lưu tự do ven biển thường bị bỏ qua.

","Ben Foster,Chris Pine,Jeff Bridges",4,http://lb.topphimhd.info/motphimmoi.php?url=cDV6NXI0bTQ0M3MyMjR2NHE1aTRwNWs0czRuNHozcjVsNTA2dTJ3NDg0ZjRxMm00ZjRjNHE1MzR0NWw1aTRtNGI0MTRlNGw0ZDRsMjU0MDZ3NWk1czJxNDc0bDQwNHUyMjRuNG41aTRzNGU0djV5MzU0MzRhM200YTRuNGs0azQ4M2c0czUwNnk1bDVjNGw0aDR2NWI0Q05OSEVD,[],[],2016-05-18T16:00:00Z,HD Vietsub,David Mackenzie,102 phút,2016,http://tv.phimmoi18.com/wp-content/uploads/2021/10/khong-lui-buoc-22107-thumbnail-250x350.jpg
Cảnh Sát Thây Ma,Officer Downe,True,Phim Phiêu Lưu - Hành Động,Mỹ,"
Cảnh Sát Thây Ma, Officer Downe
Cảnh Sát Thây Ma kể về một cuộc đối mặt với buộc tội giết người. Một thợ sửa xe nhân tài sở hữu kí vãng phạm tội. Anh bắt buộc truy vấn mua loại xe mất tích chứa bằng chứng vô tội của anh: 1 viên đạn.

","Kim Coates,Meadow Williams,Tyler Ross",4,http://lb.topphimhd.info/motphimmoi.php?url=cDV6NXI0bTQ0M3MyMjR2NHE1aTRwNWs0czRuNHozcjVsNTA2dTJ3NDg0ZjRxMm00ZjRjNHE1MzRsNWU1aDRnNHAyejUzNGs0cDJrNGI0ZzU2NjA0azQ3NHIycDRnNWw0MjR0MjM0ajRiNHI0ejVpNXk1MTR3MnYyNjNnNGM0cjRtNGg0ZTR0NXg1eDVqNGc0ZDR0NWY0ZjRkNFhrUzNHbw==,[],[],2016-05-18T16:00:00Z,HD Vietsub,Shawn Crahan,90 phút,2016,http://tv.phimmoi18.com/wp-content/uploads/2021/10/canh-sat-thay-ma-22102-thumbnail-250x350.jpg
‘Ohana: Báu Vật Quý Giá Nhất,Finding 'Ohana,True,Phim Phiêu Lưu - Hành Động,Mỹ,"
‘Ohana: Báu Vật Quý Giá Nhất, Finding ‘Ohana
‘Ohana: Báu Vật Quý Giá Nhất là bộ phim gia đình mới của Netflix Finding ‘Ohana. Phim cho thấy một nhóm trẻ nít bắt đầu cuộc phiêu lưu ở Hawaii. Nơi sở hữu thể dẫn họ đến kho báu bị mất – thứ mà họ rất nên để cứu ngôi nhà của mình.

","Chris Parnell,Ke Huy Quan,Kelly Hu",4,http://lb.topphimhd.info/motphimmoi.php?url=cDV6NXI0bTQ0M3MyMjR2NHE1aTRwNWs0czRuNHozcjVsNTA2dTJ3NDg0ZjRxMm00ZjRjNHE1MzR4NWw1NDRtNDU0MTQ0NDE0cDRsMnA0ZzUxNjA0bzRyNHY0cTJtNWU0aTVwMnc1ODQ3NHQ0eTN4NWg1dzVzMngybzJsNGE0bzR0NDg0djUxNDc0MDQ2M200YjQxNmg0ZTQ1M2Q0aTR6NXg1bjVnNGo0ajRrNG81d0lFb203,[],[],2016-05-18T16:00:00Z,HD Vietsub,Jude Weng,123 phút,2021,http://tv.phimmoi18.com/wp-content/uploads/2021/10/ohana-bau-vat-quy-gia-nhat-22092-thumbnail-250x350.jpg
Cuộc Giải Cứu Sinh Tử,Redemption Day,True,Phim Phiêu Lưu - Hành Động,Mỹ,"
Cuộc Giải Cứu Sinh Tử, Redemption Day
Cuộc Giải Cứu Sinh Tử là bộ phim hành động phổ biến pha thót tim. Trong lúc đang khai quật một đô thị cổ sát vùng biên giới giữa Maroco và Algeria. Kate Paxton bị bọn phiến loàn bắt giữ và yêu cầu chính phủ Mỹ buộc phải chuộc 10 triệu USD. Không 1 chút lần chần do dự, Đại úy Brad Paxton đã mau chóng đến vùng đất xa xôi này. Anh kết hợp cộng với người đồng đội cũ và Đại sứ quán Mỹ để tìm phương pháp đánh tháo cho vợ mình khỏi án tử.

","Andy Garcia,Gary Dourdan,Serinda Swan",4,http://lb.topphimhd.info/motphimmoi.php?url=cDV6NXI0bTQ0M3MyMjR2NHE1aTRwNWs0czRuNHozcjVsNTA2dTJ3NDg0ZjRxMm00ZjRjNHE1MzRsNXk1aTRiNHAybjViNDE0ZDRsMjY0MDYyNjA0cTRmNGs0ZDQwNHA0MjZwMjI2MTRtNHUyMjR5M3o1bDVwNHU0ODRrNHEydjJ1MjYzcjVuNTM2czVoNDkzaDR2NW00ZzRjNDk0ZzRzNXc1bzUzZ1J5aFM=,[],[],2016-05-18T16:00:00Z,HD Vietsub,Hicham Hajji,100 phút,2021,http://tv.phimmoi18.com/wp-content/uploads/2021/10/cuoc-giai-cuu-sinh-tu-22082-thumbnail-250x350.jpg
Chú Voi Ngồi Im Trên Đất,An Elephant Sitting Still,True,Phim Phiêu Lưu - Hành Động,Trung Quốc,"
Chú Voi Ngồi Im Trên Đất HD Vietsub, An Elephant Sitting Still
Chú Voi Ngồi Im Trên Đất là bộ phim đã giành chiến thắng tại Liên hoan phim Kim Mã Đài Loan lần thứ 55. Đồng thời là tác phẩm giữ kỷ lục về thời lượng siêu dài – tận 4 tiếng đồng hồ. Đây là tác phẩm đầu tiên và cũng là duy nhất của cố đạo diễn tài hoa Hồ Ba. Không những có tính nghệ thuật độc đáo, mà tài năng của Hồ Ba cũng bộc lộ triệt để trong bộ phim này.
Lấy bối cảnh tại một thành phố lạc hậu ở Hà Bắc. Bộ phim xoay quanh quá trình mưu cầu sinh tồn của 4 nhân vật sống trong tận cùng nghèo khổ của xã hội. Họ sống trong tận cùng chán nản, tận cùng bi quan. Họ mang trong mình cảm xúc bị đè nén. Vậy nên xuyên suốt bộ phim, người xem cũng chìm đắm trong bầu không khí nặng nề áp lực.

","Uvin Wang,Yu Zhang,Yuchang Peng",4,http://lb.topphimhd.info/motphimmoi.php?url=cDV6NXI0bTQ0M3MyMjR2NHE1aTRwNWs0czRuNHozcjVsNTA2dTJ3NDg0ZjRxMm00ZjRjNHE1MzRsNWw1bzR0MnE0djViNGwyaTQ3NGk0bzUyNG81azRyMnE0bjRrNWo0MjQ4NGo1azRyMnQ0ZTV0NTE0NTRzMnI0ODRrNHI0YjRwNG8yMjQzNGw0cjVhNHQ0ajR1NTMzZDRqNGs0ajRuNXE1czVrNGw0ZjRSb1NueGk=,[],[],2016-05-18T16:00:00Z,HD Vietsub,Bo Hu,294 phút,2018,http://tv.phimmoi18.com/wp-content/uploads/2020/11/chu-voi-ngoi-im-tren-dat-16133-thumbnail-250x350.jpg
